Day,Start Hour,Impressions
Sunday,00,178
Sunday,01,88
Sunday,02,0
Sunday,03,0
Sunday,04,0
Sunday,05,0
Sunday,06,57
Sunday,07,154
Sunday,08,227
Sunday,09,258
Sunday,10,278
Sunday,11,305
Sunday,12,318
Sunday,13,367
Sunday,14,311
Sunday,15,323
Sunday,16,398
Sunday,17,413
Sunday,18,477
Sunday,19,442
Sunday,20,666
Sunday,21,644
Sunday,22,460
Sunday,23,177
Monday,00,243
Monday,01,84
Monday,02,0
Monday,03,0
Monday,04,0
Monday,05,0
Monday,06,114
Monday,07,207
Monday,08,231
Monday,09,234
Monday,10,202
Monday,11,253
Monday,12,232
Monday,13,348
Monday,14,414
Monday,15,361
Monday,16,376
Monday,17,417
Monday,18,461
Monday,19,510
Monday,20,475
Monday,21,499
Monday,22,324
Monday,23,237
Tuesday,00,188
Tuesday,01,89
Tuesday,02,0
Tuesday,03,0
Tuesday,04,0
Tuesday,05,0
Tuesday,06,85
Tuesday,07,171
Tuesday,08,246
Tuesday,09,294
Tuesday,10,262
Tuesday,11,280
Tuesday,12,318
Tuesday,13,271
Tuesday,14,372
Tuesday,15,368
Tuesday,16,367
Tuesday,17,346
Tuesday,18,480
Tuesday,19,521
Tuesday,20,713
Tuesday,21,703
Tuesday,22,523
Tuesday,23,341
Wednesday,00,173
Wednesday,01,75
Wednesday,02,0
Wednesday,03,0
Wednesday,04,0
Wednesday,05,0
Wednesday,06,67
Wednesday,07,209
Wednesday,08,229
Wednesday,09,268
Wednesday,10,246
Wednesday,11,269
Wednesday,12,288
Wednesday,13,340
Wednesday,14,401
Wednesday,15,332
Wednesday,16,323
Wednesday,17,356
Wednesday,18,399
Wednesday,19,424
Wednesday,20,511
Wednesday,21,516
Wednesday,22,480
Wednesday,23,302
Thursday,00,136
Thursday,01,66
Thursday,02,0
Thursday,03,0
Thursday,04,0
Thursday,05,0
Thursday,06,81
Thursday,07,155
Thursday,08,238
Thursday,09,279
Thursday,10,279
Thursday,11,305
Thursday,12,295
Thursday,13,354
Thursday,14,327
Thursday,15,409
Thursday,16,420
Thursday,17,486
Thursday,18,394
Thursday,19,502
Thursday,20,520
Thursday,21,564
Thursday,22,325
Thursday,23,178
Friday,00,177
Friday,01,96
Friday,02,0
Friday,03,0
Friday,04,0
Friday,05,0
Friday,06,123
Friday,07,205
Friday,08,250
Friday,09,255
Friday,10,300
Friday,11,306
Friday,12,327
Friday,13,265
Friday,14,312
Friday,15,288
Friday,16,311
Friday,17,360
Friday,18,422
Friday,19,349
Friday,20,358
Friday,21,477
Friday,22,407
Friday,23,292
Saturday,00,180
Saturday,01,107
Saturday,02,0
Saturday,03,0
Saturday,04,0
Saturday,05,0
Saturday,06,81
Saturday,07,202
Saturday,08,307
Saturday,09,250
Saturday,10,250
Saturday,11,306
Saturday,12,245
Saturday,13,301
Saturday,14,294
Saturday,15,361
Saturday,16,343
Saturday,17,302
Saturday,18,366
Saturday,19,436
Saturday,20,529
Saturday,21,464
Saturday,22,375
Saturday,23,221
